fsd_no;fsd_vr;fsd_id;syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi2;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;k2;k3;k5_9;k41a;k41a_1;k41b;k41b_1;k41c;k41c_1;k21c_1;k21c_4;k21c_5;k21c_6;k26_1;k26_2;k26_3;k20b_1;k20b_2;k20b_3;k20b_5;k20b_7;k32a;k33_1;k33_2;k33_3;k33_4;k33_5;k33_7;k33_6;k33_8;k9a_07;k9a_07c;k9a_07b;k9a_09b;k9a_10b;k13_1;k13_2;k22_6;k22_8;k22_10;k20a_02;k20a_09;k21b_1;k21b_2;k52a;k52b;k52c;k53;k21b_4;k46a;k46b;k47;k48;k11a_1;k11a_2;k11a_3;k11a_4;k42e;k42a;k43a;k43e;k43g;k21c_8;k21c_9;k28a;k28b;k32;k55;k56a;k56b;k56c;k56d;k57a;k57b;k57c;k22_1;k22_2;k23;k24;k25_1;k25_4;k25_6;k25_7;k25_8;k25_9;k40;tb_paino
3493;1;1537;1978;41;6;2;1;1; ;5;2; ;4; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;2;2;2;2; ;2; ;1;2;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;1;1;2;1;1;1; ;1;1;1;1;2;1;4;2;2;2;1;2;1;3;2;2;4;3;3;4;2;1;5;5;5;4;2;1;2;3;2;3;2;2;1;4;4;3;4;4;1;3;3;3;3;3;3;8;2;,937453860322207
3493;1;1538;1967;52;8;2;1;1; ;5;3; ;2; ;1; ;2;1;38;2;2;0;0;0;0;2; ; ;3;2;2;2; ;1;2;1;2;1;3;2;3;2;2;3;2;2;3;3;2;1;2;2;2;2;1;1;2;1;1;1;2;1;1;1; ;2; ;3;1;3;1;1;2;2;1;2;2;1;2;2;1;3;3;3;2;1;1;5;5;5;3;3;1;2;0;1;2;2;4;2;4;4;2;3;3;1;1;2;2;2;2;3;8;1;,790717021851445
3493;1;1539;1966;53;8;2;1;1; ;9;3; ;2; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;5;3;1;1;3;2; ;2; ;2;4;4;4;4;3;4;3;4;3;3;3;1;1;1;1;2;1;2;3;1;2;2;2;1;1;1; ;2; ;1;2;4;2; ;2;2;2;2;3;2;2;2;2;3;4;4;4;2;1;5;4;1;1;1;3;3;30;3;4;4;2;2;2;2;4;4;4;1;3;3;3;2;2;3;5;2;,800466322192501
3493;1;1540;1962;57;9;2;1;1; ;9;3; ;2; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;1;3;2;2; ;2; ;2; ;4;4;2;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;2;1;3;1;1;1;1;2;1;1;2;1;2;2;1;3;3;3;1;1;5;1;5;1;4;3;2;44;1;3;3;2;3;5;5;3;4;4;1;3;2;2;2;3;3;10;2;,660088267875121
3493;1;1541;1985;34;4;2;1;1; ;3;2; ;4; ;1; ;2;1;38;2;2;0;0;0;0;2; ; ;5;2;2;1;2;1;2;1;2;2;2;2;1;4;3;2;2;1;2;2;2;1;2;2;2;2;3;2;2;2;1;1;2;3;3;1; ;1;1;2;1;3;1;1;2;2;1;1;2;1;1;2;1;3;3;3;4;2;1;5;3;5;2;1;2;2;2;3;3;2;3;1;3;4;4;4;4;1;3;3;2;3;3;3;5;2;1,03023782373327
3493;1;1542;1987;32;4;2;1;1; ;5;3; ;2; ;2; ;2;2;35;2;2;0;0;0;0;2; ; ;2;2;1;2; ;2; ;2; ;4;1;1;1;2;1;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;3;1;4;2; ;2;2;1;2;2;2;2;1;1;3;4;3;4;2;3;5;5;5;4;2;1;1;1;1;2;2;2;1;3;4;4;4;4;2;3;3;2;3;3;3;9;2;1,08424577908073
3493;1;1543;1959;60;10;2;1;1; ;6;3; ;2; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;2;2;2;2; ;1;2;2; ;2;2;1;4;4;2;4;2;3;3;3;3;2;2;2;1;2;1;3; ;2;3;1;1;1;1;1; ;2; ;3;3;3;2; ;2;2;2;2;3;1;2;2;2;4;4;3;4;2;2;5;5;5;1;2;4;2;0;3;3;2;2;1;4;3;3;5;1;4;3;3;3;3;3;3;7;2;,660088267875121
3493;1;1544;1972;47;7;2;1;1; ;2;1; ;3; ;1; ;2;2;36;2;2;0;0;0;0;2; ; ;5;2;2;2; ;1;3;2; ;2;2;2;1;2;1;2;2;1;2;2;3;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1; ;1;1;1;1;2;2; ;2;2;1;2;1;1;1;2;1;3;2;2;2;2;2;5;5;5;4;3;2;2;5;1;2;1;3;1;4;4;4;4;4;2;3;4;3;3;3;4;8;2;,766898405713306
3493;1;1545;1956;63;10;2;1;1; ;5;3; ;2; ;2; ;2;2;30;2;2;0;0;0;0;2; ; ;3;2;2;2; ;1;2;2; ;2;2;2;1;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2; ;2;2;1;2;1;1;1; ;2; ;2;1;3;2; ;2;1;1;2;2;1;2;2;1;3;3;4;4;2;1;5;3;5;2;3;3;2;15;1;2;2;2;2;4;3;2;4;4;4;3;3;2;2;9;3;7;2;,704346922881522
3493;1;1546;1958;61;10;2;1;1; ;9;3; ;2; ;2; ;2;2;34;2;2;0;0;0;0;2; ; ;3;1;1;1;3;1;3;1;3;4;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;2;2;2; ;2;2;2;2;1;1;1; ;1;2;1;1;2;1;3;2;1;1;1;1;1;1;2;2;2;2;4;2;2;5;5;5;5;1;3;2;1;1;1;1;1;1;1;4;5;4;4;4;1;3;1;2;1;2;2;8;2;,660088267875121
