Occupational group,Males,Females,Year
0,8314,465,2022
1 ,38031,22528,2022
2 ,250660,277566,2022
3,159513,243766,2022
4,36738,89768,2022
5,126290,316127,2022
6,7766,5961,2022
7,183540,15817,2022
8,146978,32516,2022
9,71131,88732,2022
99,32174,25799,2022
