fsd_no;fsd_vr;fsd_id;Syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;K2;K3;K5_9;K41a;K41A_1;K41B;K41B_1;K41C;K41C_1;K21C_1;K21C_4;K21C_5;K21C_6;K26_1;K26_2;K26_3;K20B_1;K20B_2;K20B_3;K20B_5;K20B_7;K32A;K33_1;K33_2;K33_3;K33_4;K33_5;K33_7;K33_6;K33_8;K9A_07;K9A_07c;K9A_07B;K9A_09b;K9A_10b;K13_1;K13_2;K22_6;K22_8;K22_10;K20a_02;K20a_09;K21B_1;K21B_2;K52a;K52b;K52c;K53;K21B_4;K46a;K46b;K47;K48;K11A_1;K11A_2;K11A_3;K11A_4;K42E;K42A;K43A;K58a;K58b;K59;K43E;K43G;K21C_8;K21C_9;K28A;K28B;K32;K55;K56a;K56b;K56c;K56d;K60a;K60b;K61;K22_1;K22_2;K23;K24;K25_1;K25_4;K25_6;K25_7;K25_8;K40;tb_paino
3645;1,0;944;1994;26;3;1;1;1;2;4;3;2;1;1;0;2;1;38;2;2;0;0;0;0;2; ; ;3;1;2;2; ;2; ;1;1;3;1;2;2;3;2;2;2;1;2;2;3;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;1;1;1;3;2; ;1;2;2;1;1;2;2;2;1;3;3;2;4;1;2;5;1; ;2;4;5;4;3;1;2;2;2;3;4;3;1;1;1;3;3;3;2;4;3;2;2;1;3;2;1
3645;1,0;945;1956;64;10;1;1;1;1;2;3;1;1;1;34;2;2;40;2;2;0;0;0;0;2; ; ;8;3;3;1;2;1;3;1;3;3;3;3;4;1;1;2;2;2;5;3;2;1;2;1;2;2;3;3;2;2;1;2;1;1;1;2;1;1;1;2;1;3;1;2;2;1;1;2;2;2;2;2;1;3;3;3;2;2;3;2; ;1;1;2;4;4;3;2;2;3;2;2;2;2;1;2;2;4;3;3;3;4;3;3;3;4;3;2;1
3645;1,0;946;1956;64;10;1;1;1;1;2;3;2;1;1;9;2;2;50;2;2;0;0;0;0;2; ; ;5;1;1;2; ;2; ;2; ;4;1;1;2;1;1;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;2; ;1;1;1;1;2;2;1;2;2;1;1;1;2;1;1;1;3;1;1;2;3; ;1;2;3;2;4;3;1;2;0;1;2;2;3;2;2;2;4;3;3;2;3;3;3;3;3;4;1;1
3645;1,0;947;1984;36;5;1;1;1;2;5;3;2;1;1;7;2;2;38;2;2;0;0;0;0;2; ; ;5;2;2;2; ;1;3;2; ;4;2;2;1;2;2;2;2;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;1;1;2;1;2; ;1;1;2;1;4;2;1;1;1;2;1;2;1;1;3;4;3;2;2;2;4; ;2; ;2;5;4;3;1;2;0;1;2;2;2;1;2;2;2;2;4;2;3;2;2;1;2;2;2;1
3645;1,0;948;1982;38;5;1;1;1;1;2;1;3;1;1;2;2;2;40;2;2;0;0;0;0;2; ; ;9;2;2;1;3;1;2;2; ;3;2;1;1;2;2;2;1;1;1;2;3;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;1;1;1;1;1;2;2; ;2;2;2;1;1;1;1;1;1;3;3;3;2;1;2;2; ;1;1;4;5;4;2;1;1;15;4;2;2;3;1;2;2;1;4;4;2;3;3;2;2;4;4;1;1
3645;1,0;949;1993;27;3;1; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ;2;2;2;1;2;1;2;2; ;4;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;2;1;1;2;2;1;2; ;1;1;2;1;1;1;1;2;1;2;1;3;1;1;3;2; ;2; ;1;4;2;3;1;1;2;3;2;2;2;1;1;2;1;2;4;2;2;2;2;2;2;1;2;1
3645;1,0;950;1956;64;10;1;1;1;2;3;3;2;1;1;37;2;2;38;2;2;0;0;0;0;2; ; ;3;1;2;1;3;1;3;1;2;4;1;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;1;1;1;1;1;2;2; ;1;1;1;1;1;1;1;2;1;2;1;2;3;1;2;5;2; ; ;4;4;3;4;3;3;0;2;2;2;3;3;2;2;3;3;3;3;4;4;3;2;2;3;2;1
3645;1,0;951;1996;24;2;1;1;1;2;3;3;1;1;1;2;2;2;40;2;2;0;0;0;0;2; ; ;10;3;2;2; ;2; ;2; ;4;2;1;2;2;1;2;1;2;2;3;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;1;1;2;2;2; ;2;2;2;2;3;2;2;2;1;4;1;4;3;2;1;4; ;1;1;5;5;4;2;1;2;0;2;2;3;2;1;2;2;4;3;3;2;2;2;3;3;3;3;2;2
3645;1,0;952;1966;54;8;1;1;1;3;4;1;3;1;1;24;2;2;37;2;2;0;0;0;0;2; ; ;9;2;1;1;3;2; ;1;2;2;1;1;1;2;2;2;2;3;2;3;3;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;3;1;4;1;3;2;1;1;2;2;2;2;2;1;3;3;3;4;1;4;5;1; ;2;2;5;4;3;2;2;2;2;2;3;2;1;2;2;4;4;4;2;4;4;3;3;3;3;2;1
3645;1,0;953;2002;18;1;1;3;1;3;9;3;2; ; ; ;2; ; ; ; ; ; ;0;0; ; ; ;1;4;3;1;3;2; ;2; ;4;2;1;5;3;2;3;2;3;2;3;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2; ;2;2;3;2; ;1;2;1;2;2;2;2;2;1;4;3;3;4;2;4;5;2; ; ;4;5;4;4;2;2;0;1;1;2;1;1;2;2;3; ; ;6;2;3;3;2;2;4;2;2
3645;1,0;954;1994;26;3;1;1;1;3;7;3;2;1;1;5;2;2;38;2;2;0;0;0;0;2; ; ;8;3;1;1;1;1;2;2; ;1;2;1;1;2;2;3;1;1;1;1;3;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;2;1;1;2;2; ;2;1;2;1;1;1;2;2;2;2;2;4;3;2;1;5;2; ; ;1;2;1;1;3;3;0;5;5;1;2;2;2;2;3;4;4;1;3;3;3;3;3;3;1;1
3645;1,0;955;1984;36;5;1;1;1;1;2;3;2;1;1;1;2;2;40;2;2;0;0;0;0;1;2;2;5;1;2;1;2;1;2;1;2;3;1;1;3;2;2;2;1;1;2;2;3;2;2;2;2;2;2;2; ;2;1;1;2;1;1;2;1;2; ;1;1;2;1;5;2;1;1;1;1;1;1;1;1;2;2;1;1;1;2;3; ;1;2;4;4;4;2;1;2;3;3;3;3;3;1;2;2;2;3;3;2;5;3;3;3;3;3;1;1
3645;1,0;956;1983;37;5;1;1;1;1;2;1;3;2;1;1;2;2;40;2;2;0;0;0;0;2; ; ;9;2;2;2; ;1;2;1;2;1;2;2;2;2;1;1;2;1;1;1;3;1;2;3;3;2;1;3;1;3;1;1;2;1;1;1; ;2; ;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;3;2; ;1;2;2;5;4;2;2;1;0;1;2;1;2;2;2;2;3;4;4;2;2;3;3;3;1;3;1;1
3645;1,0;957;1969;51;8;1;2;1;1;2;3;2; ; ; ;2; ; ; ; ; ; ;0;0; ; ; ;6;2;2;1;2;1;1;1;2;4;3;2;4;2;2;2;3;2;3;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1; ;1;1;1;1;2;2; ;2;2;2;2;1;2;1;1;1;3;3;4;1;1;2;4; ;1;3;4;4;4;3;1;2;2;3;2;1;1;1;1;2;5;2;3;2;4;3;3;3;4;5;2;1
3645;1,0;958;1982;38;5;1;1;1;1;2;1;3;1;1;13;2;2;40;2;2;0;0;0;0;2; ; ;10;2;1;1;3;1;1;1;3;2;1;1;2;2;1;1;1;1;1;1;4;1;2;2;2;2;1;2;2;2;1;1;1;1;1;1; ;1;1;2;1;3;2; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;3; ;1;1;4;5;4;3;1;1;0;2;2;2;2;1;2;2;3;4;4;2;2;4;4;1;2;3;2;1
3645;1,0;959;1977;43;6;1;1;1;1;2;3;2;1;1;15;2;2;38;2;2;0;0;0;0;2; ; ;11;4;3;3; ;1;3;2; ;3;1;1;2;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;1;1;2;1;5;1;1;1;1;1;1;1;2;1;2;2;2;1;1;2;1; ; ; ;4;4;3;3;1;1;2;2;2;3;3;2;2;2;2;3;3;2;4;1;3;3;4;2;1;1
3645;1,0;960;1980;40;5;1;1;1;1;0;1;3;1;1;19;2;2;39;2;2;0;0;0;0;2; ; ;5;1;3;1;2;1;2;1;2;2;2;1;1;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;1;2;1;5;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;3; ;1;1;4;2;4;2;3;2;15;2;2;2;2;2;2;2;1;4;4;1;4;2;1;2;1;3;1;1
3645;1,0;961;1995;25;3;1;1;1;3;9;3;2;1;1;4;2;2;30;2;2;0;0;0;0;2; ; ;2;2;2;2; ;2; ;2; ;4;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;2;1;1;1;2;2;2; ;2;1;2;2;1;2;2;2;2;1;1;2;1;2;3;5;2; ; ;3;5;3;4;1;1;0;2;1;3;2;1;2;2;3;3;4;1;3;3;1;3;3;2;2;1
3645;1,0;962;1964;56;9;1;1;1;1;2;3;2;1;1;2;2;2;40;2;2;0;0;0;0;2; ; ;11;2;1;1;3;2; ;2; ;2;2;2;2;3;3;3;2;2;2;2;3;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;2;2;2;2;2;1;2;2;1;2;3;3;3;2;2;4; ;1;2;4;5;4;2;2;3;1;3;3;4;4;2;2;2;2;2;3;2;4;3;2;2;3;4;1;1
3645;1,0;963;1992;28;3;1;1;1;3;9;3;2;1;1;7;2;2;42;1;2;11;0;48;0;2; ; ;6;1;2;1;3;2; ;2; ;3;2;2;1;2;2;2;2;2;2;3;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1; ;2; ;1;1;3;2; ;2;2;2;1;2;2;2;2;2;3;2;4;3;2;2;5;2; ; ;5;5;2;3;1;1;0;1;1;3;2;1;2;2;2;4;4;2;2;2;2;2;3;1;2;1
3645;1,0;964;1965;55;9;1;1;1;1;2;3;2;1;1;0;2;2;38;2;2;0;0;0;0;2; ; ;3;1;3;2; ;2; ;2; ;4;1;1;2;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;2;1;2;2; ;2;2;2;1;3;2;2;2;1;4;3;4;3;2;4;5;1; ;1;5;5;4;4;2;2;0;1;1;1;1;1;2;2;3;3;3;2;4;3;3;2;3;3;2;1
3645;1,0;965;1975;45;7;1;1;1;2;3;1;3;1;1;6;2;1;39;2;2;0;0;0;0;2; ; ;6;2;2;1;3;1;2;1;2;1;3;3;1;3;2;3;3;3;3;4;3;2;1;2;2;2;2;2; ;2;1;2;2;3;3;1; ;2; ;2;1;2;1;60;2;1;1;1;3;2;2;2;1;3;4;3;4;2;2;5;1; ;3;3;5;2;2;2;2;0;3;4;2;2;3;2;2;1;4;4;3;4;3;3;3;3;3;1;1
3645;1,0;966;1958;62;10;1;1;1;1;2;3;2;1;1;10;2;2;38;2;2;0;0;0;0;2; ; ;4;1;1;1;3;1;2;1;2;4;1;1;2;2;1;3;1;3;1;1;1;2;1;1;2;2;2;2; ;2;1;1;1;1;1;2;1;1;1;2;2;4;2; ;2;2;2;1;1;1;1;2;1;1;1;1;1;1;2;2; ;1;1;2;3;4;2;3;1;0;2;3;3;1;1;2;2;3;3;3;4;2;3;3;3;2;2;2;1
3645;1,0;967;1986;34;4;1;1;1;1;2;3;2;1;1;6;2;2;38;2;2;0;0;0;0;2; ; ;2;3;2;1;3;1;2;2; ;2;1;1;1;2;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;1;1;2;1;5;2;1;1;1;1;1;1;2;1;3;3;3;2;1;1;2; ;1;1;3;4;4;3;1;1;2;2;2;2;3;2;2;2;1;4;4;2;5;3;4;3;4;4;1;1
3645;1,0;968;1977;43;6;1;1;1;1;2;2;4;2;1;0;2;2;40;2;2;0;0;0;0;2; ; ;6;1;2;2; ;1;1;1;1;3;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;2; ;2;1;2;1;2;1;1;1;1;1;1;2;1;1;1;2;3;1;1;2;5;1; ;1;3;2;3;2;1;1;0;3;3;1;2;2;2;2;2;3;3;2;3;3;3;3;3;3;2;1
