fsd_no;fsd_vr;fsd_id;Syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;K2;K3;K5_9;K41a;K41A_1;K41B;K41B_1;K41C;K41C_1;K21C_1;K21C_4;K21C_5;K21C_6;K26_1;K26_2;K26_3;K20B_1;K20B_2;K20B_3;K20B_5;K20B_7;K32A;K33_1;K33_2;K33_3;K33_4;K33_5;K33_7;K33_6;K33_8;K9A_07;K9A_07c;K9A_07B;K9A_09b;K9A_10b;K13_1;K13_2;K22_6;K22_8;K22_10;K20a_02;K20a_09;K21B_1;K21B_2;K52a;K52b;K52c;K53;K21B_4;K46a;K46b;K47;K48;K11A_1;K11A_2;K11A_3;K11A_4;K42E;K42A;K43A;K58a;K58b;K59;K43E;K43G;K21C_8;K21C_9;K28A;K28B;K32;K55;K56a;K56b;K56c;K56d;K60a;K60b;K61;K22_1;K22_2;K23;K24;K25_1;K25_4;K25_6;K25_7;K25_8;K40;tb_paino
3645;1,0;929;1960;60;10;2;1;1;2;3;2;4;1;1;37;2;1;38;2;2;0;0;0;0;2; ; ;5;2;1;1;2;1;2;1;3;1;2;3;2;2;2;2;3;2;3;3;3;2;2;2;2;2;2;2; ;2;2;2;2;3;3;1; ;1;1;3;2;2;1;2;2;2;1;2;1;2;2;2;2;3;3;3;4;2;1;5;2; ; ;2;2;2;2;2;2;0;2;3;2;3;2;2;2;3;4;4;1;4;3;3;4;3;3;2;1
3645;1,0;930;1975;45;7;2;1;1;1;2;3;2;1;1;2;2;2;38;2;2;0;0;0;0;2; ; ;1;3;2;2; ;2; ;2; ;3;1;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;1;2;1;1;1;2;2;1;1;1;2;2;2; ;2;1;1;3;1;3;2;2;1;3;3;3;3;1;2;4; ;1;1;4;5;4;2;2;2;2;3;3;3;3;1;2;2;2;1;3;2;4;3;3;3;3;3;2;1
3645;1,0;931;1984;36;5;2;1;1;1;2;2;4;1;2;2;2;2;29;2;2;0;0;0;0;2; ; ;7;2;2;3; ;1;1;1;1;1;2;3;2;3;1;3;3;3;1;2;3;9;2;2;1;2;2;1; ;3;1;1;2;1;1;1; ;1;1;3;1;3;2; ;2;1;1;1;2;1;2;2;1;4;4;4;4;1;1;5;1; ;1;5;5;3;1;1;4;15;3;4;4;4;2;2;2;2;1;3;1;5;5;3;4;5;4;2;1
3645;1,0;932;1962;58;9;2;1;1;2;3;2;4;1;1;17;2;1;39;2;2;0;0;0;0;2; ; ;9;2;2;1;2;3; ;2; ;2;3;3;1;2;2;2;3;1;2;2;2;2;1;2;2;2;2;2; ;2;2;2;2;3;3;1; ;1;1;3;1;3;2; ;2;1;1;2;2;2;2;1;2;3;3;3;3;1;2;5;2; ; ;4;5;2;2;2;2;2;3;3;3;3;2;2;2;2;4;4;1;3;4;3;3;3;4;2;1
3645;1,0;933;1978;42;6;2;1;1;2;3;3;2;1;1;6;2;2;38;1;2;3;0;13;0;2; ; ;3;2;1;1;2;1;1;1;1;1;2;2;1;1;1;3;1;1;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;1;1;4;2; ;2;2;1;2;1;1;2;2;1;2;3;3;2;2;1;5;1; ;2;5;5;2;2;2;2;0;4;3;3;4;1;1;2;3;3;4;1;4;3;3;4;4;3;2;1
3645;1,0;934;1970;50;8;2;1;1;1;2;3;2;1;1;12;2;2;40;2;2;0;0;0;0;2; ; ;10;2;2;2; ;1;2;1;1;3;2;2;4;2;1;1;2;1;3;2;3;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1; ;2; ;2;1;2;1;3;2;1;1;2;1;1;2;2;1;2;2;2;3;2;2;2; ;1;1;4;2;4;2;1;2;0;3;3;3;2;2;2;2;3;2;2;2;4;3;3;3;3;3;2;1
3645;1,0;935;1990;30;3;2;1;1;1;2;1;3;1;1;5;2;2;38;2;2;0;0;0;0;2; ; ;6;1;2;2; ;2; ;2; ;2;2;2;2;3;2;2;2;3;2;3;2;1;2;2;3;2;1;1;2;2;2;1;2;1;1;1; ;1;2;1;1;3;1;1;2;2;1;1;2;1;1;1;1;3;3;3;3;2;3;2; ;1;2;5;4;4;2;1;1;0;3;2;3;3;2;2;2;2;3;4;2;4;3;3;4;4;3;2;1
3645;1,0;936;1964;56;9;2;1;1;1;1;3;2;1;1;30;2;2;36;2;2;0;0;0;0;1;5;2;2;2;2;2; ;1;3;2; ;2;1;1;3;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4; ;2; ;2;4;4;1;1;1;0;3;2;2;2;2;2;2;4;2;4;2;2;2;2;2;2;4;1;1
3645;1,0;937;1988;32;4;2;1;1;1;2;2;4;1;1;9;2;2;38;2;2;0;0;0;0;2; ; ;2;2;2;1;1;2; ;1;3;2;2;2;1;3;2;2;2;3;2;2;2;2;2;2;2;2;1;2; ;2;2;1;2;1;1;1; ;1;1;3;2;3;1;1;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;5;2; ; ;4;5;2;1;2;2;10;2;3;3;3;2;2;2;3;2;4;2;4;3;2;3;3;5;2;1
3645;1,0;938;1965;55;9;2;1;1;2;4;2;4;1;1;19;2;2;37;2;2;0;0;0;0;2; ; ;3;1;2;2; ;1;3;2; ;2;1;1;3;2;1;1;1;2;1;1;2;2;2;2;2;2;2;2; ;2;1;1;1;2;1;1; ;1;1;1;1;2;1;4;2;2;1;2;1;1;2;1;1;4;1;4;4;1;4;5;2; ; ;5;5;4;4;1;1;0;1;1;1;2;1;2;2;3;2;4;1;4;4;3;2;3;5;2;1
3645;1,0;939;1976;44;6;2;1;1;2;3;3;2;1;1;3;2;2;40;2;2;0;0;0;0;2; ; ;1;2;2;2; ;1;1;2; ;2;2;3;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;1;3;1;3;2;1;1;2;3;2;2;2;1;3;2;3;1;2;1;5;1; ;2;4;4;2;2;2;2;25;2;3;3;3;2;1;2;2;2;4;1;5;3;2;2;2;3;2;1
3645;1,0;940;1961;59;9;2;1;1;3;9;2;4;1;1;9;2;2;38;2;2;0;0;0;0;2; ; ;99;2;2;2; ;2; ;2; ;4;4;2;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;1;2;2; ;2;2;2;2;3;2;2;2;1;3;3;3;3;2;1;5;2; ; ;5;5;2;3;2;2;0;2;2;2;3;3;2;2;3;4;4;2;6;3;4;5;4;3;2;1
3645;1,0;941;1986;34;4;2;1;1;1;1;3;2;1;1;10;2;2;45;2;2;0;0;0;0;2; ; ;3;1;2;2; ;2; ;2; ;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;3;3;3;3;2;1;5;1; ;1;2;2;3;2;2;2;4;3;4;2;2;1;2;2;4;4;4;2;4;3;3;3;3;3;1;1
3645;1,0;942;1971;49;7;2;1;1;1;2;1;3;1;1;18;2;2;38;2;2;0;0;0;0;2; ; ;7;1;2;1;3;1;2;1;2;1;2;2;2;3;3;3;2;2;2;2;4;2;2;2;1;2;2;2; ;2;2;1;2;1;1;1; ;1;1;3;1;3;1;5;2;1;1;2;2;1;2;2;1;3;2;4;1;2;3;5;1; ;2;5;5;4;2;2;3;0;3;3;2;3;2;2;2;3;4;4;1;5;2;5;3;3;4;2;1
3645;1,0;943;1989;31;4;2;1;1;2;3;3;2;1;1;2;2;2;38;2;2;0;0;0;0;2; ; ;1;2;2;2; ;2; ;2; ;4;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2; ;1;2;2;1;1;1;2;1;1;1;1;2;2;1;4;1;1;1;2;1;1;1;2;1;3;3;3;4;2;1;5;2; ; ;3;4;4;2;2;2;0;2;3;3;3;2;2;2;3;4;4;1;4;2;3;3;2;3;2;1
