fsd_no;fsd_vr;fsd_id;tb_paino;Syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi2;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;K2;K3;K5_9;K41a;K41A_1;K41B;K41B_1;K41C;K41C_1;K21C_1;K21C_4;K21C_5;K21C_6;K26_1;K26_2;K26_3;K20B_1;K20B_2;K20B_3;K20B_5;K20B_6;K20B_7;K32A;K33_1;K33_2;K33_3;K33_4;K33_5;K33_7;K33_6;K33_8;K9A_07;K9A_07c;K9A_07B;K9A_09b;K9A_10b;K13_1;K13_2;K22_6;K22_8;K22_10;K20a_02;K20a_09;K21B_1;K21B_2;K51A;K51B;K51C;K51D;K51E;K51F;K51G;K51H;K51I;K51J;K51K;K51K_muu;K52a;K52b;K52c;K21B_30;K53;K21B_4;K46a;K46b;K47;K47_1;K47_2;K47_4;K47_5;K47_6;K47_7;K48;K50;K11A_1;K11A_2;K11A_3;K11A_4;K42E;K42A;K43A;K43E;K43G;K21C_8;K21C_9;K28A;K28B;K32;K22_1;K22_2;K22_3;K23;K24;K25_1;K25_4;K25_6;K25_7;K25_8;K25_9;K54a;K54b;K54c;K40
3482;1;463;,91267015044375;1964;54;8;2;1;1;1;2;2; ;4;1;1;9;2;2;38;1;2;5;0;23;0;2; ; ;4;2;2;1;2;1;2;1;2;1;1;1;1;1;2;1;1;1;2;1;4;2;2;2;2;2;2;2;2; ;2;1;1;2;2;1;1; ;1;1;1;1;4;1;5;1;2;1;1;2;2;1;2;1;2;2; ;2;1;1;2;2;1;3;2;1;1;1;2;2;2;1;1;3;2;2;3;3;1;2;2;5;5;4;3;1;2;1;4;4;4;3;3;3;3;3;3;3;9;1;1;3;1
3482;1;464;,922633565408326;1966;52;8;2;1;1;3;9;2; ;4;1;1;29;2;2;38;2;2;0;0;0;0;2; ; ;2;2;2;1;1;1;1;1;3;3;2;1;3;2;1;2;2;2;2;1;2;3;2;3;2;2;2;2;3; ;1;1;2;1;1;1;1; ;2; ;1;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;2;1;1;2;2;2; ; ; ; ; ; ;1;2;3;3;2;4;2;2;5;4;5;1;2;3;2;0;3;3;2;2;3;3;2;2;2;3;9;1;1;4;2
3482;1;465;1,05177289170259;1955;63;10;2;1;1;2;5;3; ;2;1;1;13;2;2;40;2;2;0;0;0;0;2; ; ;2;1;2;2; ;2; ;2; ;4;2;1;1;2;2;2;1;2;2;2;3;2;1;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;1;3;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1;1;2; ; ; ; ; ; ;1;3;2;4;4;4;1;2;5;2;5;3;3;2;2;2;4;4;4;1;3;3;3;3;3;3;8;2;1;2;1
3482;1;466;,866487473980723;1961;57;9;2;1;1;2;5;3; ;2;1;1;5;2;1;35;2;2;0;0;0;0;2; ; ;1;2;2;2; ;1;2;1;2;2;2;1;1;4;3;3;2;2;2;2;2;3;2;2;2;2;2;2;1; ;2;1;2;2;1;1;2;1;1;1;3;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;2;2;2;1;1;1;2;2;2;2;1;1;1;3;2;3;3;4;2;2;5;4;4;2;4;2;3;3;3;4;4;1;3;4;3;3;3;4;8;1;1;2;2
3482;1;467;,878342445492515;1975;43;6;2;1;1;2;3;2; ;4;2;1;1;2;2;39;2;2;0;0;0;0;2;0;2;3;2;2;2; ;1;2;2; ;4;2;1;4;3;2;2;2;2;1;1;2;3;2;2;2;2;2;1;1; ;2;2;1;2;2;2;1; ;1;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;1;1;1;1;1;2; ; ; ; ; ; ;1;3;3;2;3;3;1;4;5;5;5;4;2;1;1;5;4;4;4;1;2;3;2;2;2;3;7;1;1;2;2
3482;1;468;,878342445492515;1980;38;5;2;1;1;2;3;2; ;4;1;1;13;2;2;39;2;2;0;0;0;0;2; ; ;2;2;2;1;2;2; ;1;2;3;2;1;1;2;1;1;2;1;2;2;3;2;2;2;2;2;2;2;2; ;2;1;1;2;1;1;1; ;1;1;1;1;3;1;3;2;2;1;2;1;2;1;2;1;2;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3482;1;469;,969240800695793;1980;38;5;2;1;1;2;5;2; ;4;2;1;0;2;1;39;2;2;0;0;0;0;2; ; ;5;3;2;3; ;1;2;2; ;4;1;2;2;3;2;2;5;2;5;5;1;2;2;2;2;2;2;2;2; ;2;2;9;1;3;2;1; ;2; ;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2;1;3;3;1;1;2;2;2;2;2;2;3;3;3;2;3;1;4;5;4;5;4;2;2;2;0;4;4;4;1;3;4;2;3;2;2;9;1;1;2;2
3482;1;470;1,15296474911507;1992;26;3;2;1;1;1;2;2; ;4;2;1;0;2;2;38;2;2;0;0;0;0;1;10; ;5;4;3;1;9;3; ;3; ;4;3;1;4;2;2;1;2;1;1;1;5;2;1;2;2;2;2;2;2;2;2;1;1;2;3;1;1; ;2; ;9;3;3;1;2;2;2;2;2;2;2;2;2;1;2;2; ;1;2;2;2;1;1;2;2;2; ; ; ; ; ; ;1;3;2;2;3;3;1;2;5;2;2;3;2;1;1;4;4;4;4;2;3;4;3;2;3;4;7;1;1;3;2
3482;1;471;,957385829184001;1959;59;9;2;1;1;2;5;2; ;4;1;1;17;2;1;39;2;2;0;0;0;0;2; ; ;4;3;2;1;2;1;2;2; ;2;3;2;2;3;3;2;2;3;2;2;3;1;2;2;2;2;2;2;2; ;2;1;1;1;3;3;1; ;1;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;1;1;2;2; ; ; ; ; ; ;2;3;3;2;3;4;1;2;5;4;5;2;2;3;2;30;4;4;4;1;3;3;3;2;3;3;8;1;4;4;2
3482;1;472;1,18201297567439;1983;35;4;2;1;1;2;3;3; ;2;1;1;1;2;1;39;2;2;0;0;0;0;2; ; ;4;2;2;1;3;1;2;2; ;4;3;2;1;1;1;1;1;1;1;2;3;2;2;2;2;2;2;2;2; ;2;1;1;3;3;3;2;1;2; ;2;1;3;1;12;2;2;2;2;2;2;1;2;1;1;2; ;1;1;2;2;1;1;1;1;1;2;1;1;2;2;2;1;3;2;2;2;1;1;4;5;2;5;4;2;1;2;1;4;4;4;1;3;2;2;2;3;2;9;1;1;2;2
3482;1;473;1,18201297567439;1993;25;3;2;1;1;2;4;3; ;2;1;1;0;2;2;30;2;2;0;0;0;0;2; ; ;6;1;1;1;2;1;1;1;2;2;2;3;1;3;2;2;2;1;2;2;2;3;1;2;2;2;2;1;2;2;2;2;1;2;1;1;1; ;1;2;2;1;3;1;5;1;2;1;2;2;1;1;2;1;2;2; ;1;1;1;2;1;1;1;2;2; ; ; ; ; ; ;1;2;3;3;3;4;2;1;5;3;3;3;2;2;2;30;4;3;3;2;3;3;2;2;2;2;7;2;1;1;2
3482;1;474;,857568460634521;1956;62;10;2;1;1;1;2;2; ;9;1;1;35;2;2;37;2;2;0;0;0;0;2; ; ;3;2;2;1;2;2; ;2; ;4;1;1;1;2;1;1;1;1;1;1;3;2;2;2;2;2;2;2;2; ;2;1;1;2;1;1;1; ;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2; ;2;2;1;2;2;1;2;2;2; ; ; ; ; ; ;1;3;4;3;3;4;1;3;5;4;5;4;4;4;2;5;4;4;4;4;2;3;2;2;2;3;9;2;2;3;2
3482;1;475;,865651224928636;1967;51;8;2;1;1;1;2;2; ;9;1;1;16;2;2;40;2;2;0;0;0;0;2; ; ;5;1;1;1;3;1;2;1;2;1;2;2;1;1;1;2;2;3;2;2;3;3;2;2;1;1;2;2;2; ;2;2;2;9;2;1;2;1;1;1;3;2;4;1;5;1;2;1;2;1;2;1;2;1;2;2; ;2;2;1;2;2;1;1;2;2; ; ; ; ; ; ;1;9;2;2;1;1;1;2;2;4;2;3;2;2;2;2;4;4;3;3;2;4;2;3;3;4;8;1;1;2;1
3482;1;476;,957385829184001;1956;62;10;2;1;1;2;5;2; ;4;1;1;21;2;2;4;1;2;2;0;9,2;0;2; ; ;1;2;2;2; ;2; ;2; ;2;1;2;2;2;2;2;1;2;2;1;2;3;1;2;2;2;2;2;2;2;2;1;1;2;1;1;1; ;1;1;1;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;2;2;3;1;2;2; ; ; ; ; ; ;2;3;1;1;1;2;2;5;5;5;5;2;2;3;2;10;4;3;4;3;2;3;2;2;3;3;8;4;4;4;2
3482;1;477;1,27291133087767;1984;34;4;2;1;1;2;5;2; ;4;1;1;11;2;1;39;2;2;0;0;0;0;2; ; ;3;3;2;1;2;2; ;1;3;2;2;2;1;3;2;3;1;3;1;2;2;3;2;2;2;2;2;2;2; ;2;2;1;3;3;3;1; ;2; ;2;1;3;1;12;2;2;2;2;2;2;1;2;1;2;2; ;1;1;1;2;2;1;1;2;2; ; ; ; ; ; ;2;3;4;3;4;4;2;2;5;4;5;2;2;1;1;5;4;4;2;1;3;4;3;3;4;3;8;1;2;3;2
3482;1;478;,969240800695793;1980;38;5;2;1;1;2;5;2; ;4;1;2;4;2;2;30;1;2;2;0;9,2;0;2; ; ;7;1;2;1;3;1;2;1;1;2;3;4;1;3;2;2;3;2;3;3;1;3;2;1;1;2;2;1;1; ;1;2;2;3;3;2;1; ;1;2;2;1;4;1;5;1;2;2;2;2;2;1;2;2;2;2; ;2;2;2;1;1;1;1;1;2; ; ; ; ; ; ;1;3;4;4;4;4;1;1;5;1;2;2;1;2;2;3;4;4;4;1;2;3;3;2;2;4;99;1;1;2;2
3482;1;479;,847402662385975;1958;60;10;2;1;1;3;8;3; ;2;1;1;17;2;2;38;2;2;0;0;0;0;2; ; ;2;3;2;2; ;2; ;2; ;3;3;1;3;4;2;3;2;3;4;3;2;1;1;2;2;2;2;2;3;2;2;1;2;1;1;1;1; ;2; ;2;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;3;2;2;2; ; ; ; ; ; ;2;3;4;3;4;4;2;1;5;5;5;1;2;2;1;0;2;2;3;2;2;3;2;3;3;3;5;5;4;5;2
3482;1;480;,985597806691238;1965;53;8;2;1;1;2;4;3; ;2;1;1;13;2;1;37;2;2;0;0;0;0;2; ; ;3;2;2;2; ;2; ;2; ;4;2;3;1;3;3;3;2;2;2;3;2;3;2;2;2;2;2;1;2; ;2;2;2;2;1;1;2;1;1;1;2;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;1;1;1;1;1;2;1;2;1;1;2;3;2;4;4;2;3;5;2;5;3;3;3;2;11;3;3;3;2;3;2;3;3;3;4;7;1;2;2;2
3482;1;481;1,27291133087767;1987;31;4;2;1;1;2;5;2; ;4;1;1;5;2;2;39;2;2;0;0;0;0;2; ; ;3;2;2;2; ;1;2;2; ;4;2;3;1;1;2;1;2;1;2;1;1;2;2;2;2;2;2;1;1; ;2;2;1;3;3;3;2;1;1;1;1;1;3;1;2;2;2;2;2;2;2;1;2;1;2;2; ;2;1;2;2;2;1;1;2;2; ; ; ; ; ; ;1;3;3;2;3;3;2;2;5;2;5;3;2;1;1;5;4;4;2;2;2;4;2;2;2;3;8;1;1;3;2
3482;1;482;1,27291133087767;1984;34;4;2;1;1;2;5;3; ;2;1;2;7;2;1;32;2;2;0;0;0;0;1;3;2;4;3;3;2; ;2; ;1;3;1;4;1;4;4;3;2;3;3;3;2;2;3;2;2;2;2;2;2;1; ;2;1;1;3;1;1;1; ;3; ;9;1;3;1;1;2;2;2;2;2;2;2;2;2;1;2; ;2;2;2;2;2;3;2;2;2; ; ; ; ; ; ;2;3;3;2;4;3;2;2;5;5;5;2;2;1;1;1;4;4;2;5;4;4;4;4;4;4;5;1;1;2;2
3482;1;483;1,18201297567439;1986;32;4;2;1;1;2;3;2; ;4;1;1;6;2;1;39;2;2;0;0;0;0;2; ; ;3;2;2;2; ;2; ;2; ;4;2;2;2;2;2;2;2;2;1;1;4;1;2;2;2;2;2;2;2; ;2;1;1;2;3;1;1; ;1;2;1;1;2;1;8;2;2;2;2;2;2;1;2;1;1;2; ;1;1;1;1;1;1;1;1;2; ; ; ; ; ; ;2;3;4;3;3;4;2;3;5;5;5;4;2;1;1;0;2;4;2;1;3;3;2;3;3;3;9;1;1;2;2
3482;1;484;,865651224928636;1965;53;8;2;1;1;1;2;2; ;4;1;1;29;2;2;23;2;2;0;0;0;0;2; ; ;5;3;2;1;3;2; ;1;3;2;1;3;3;4;2;2;2;1;1;2;3;2;2;2;2;2;2;2;2; ;1;1;1;1;3;3;1; ;2; ;2;1;2;1;9;1;1;1;2;1;2;1;1;1;1;2; ;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;3;3;3;3;2;1;2;5;1;1;3;1;1;1;3;4;4;4;1;2;2;3;3;2;4;10;1;2;2;2
3482;1;485;,918171804376131;1962;56;9;2;1;1;3;5;3; ;2;1;1;4;2;2;40;2;1;0;4;0;18,4;1;40;2;1;2;2;2; ;2; ;2; ;3;2;1;1;4;4;4;3;3;4;4;1;3;1;1;2;2;2;2;1;2;1;1;2;2;1;1;1; ;2; ;3;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;3;2;2;2; ; ; ; ; ; ;2;2;3;2;3;2;2;4;5;2;3;4;3;1;1;0;2;4;4;1;3;4;3;5;3;3;7;4;1;4;2
3482;1;486;1,18201297567439;1988;30;4;2;1;1;2;3;2; ;4;1;1;0;2;2;38;2;2;0;0;0;0;2; ; ;6;1;2;2; ;3; ;2; ;4;2;2;1;2;3;3;1;3;2;4;1;4;2;2;2;2;2;2;2; ;2;2;1;1;1;1;1; ;1;2;1;2;2;1;1;2;2;2;2;2;2;2;2;1;2;2; ;2;1;1;1;1;3;2;2;2; ; ; ; ; ; ;2;3;3;3;4;2;2;4;5;5;5;3;2;1;1;22;3;4;2;2;3;5;3;5;3;4;5;1;1;3;2
3482;1;487;,878342445492515;1982;36;5;2;1;1;2;4;3; ;2;1;1;1;2;2;40;2;2;0;0;0;0;2; ; ;1;2;2;2; ;2; ;1;2;2;2;2;2;2;2;1;1;1;2;2;3;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;1;1;1;1;2;2;1;3;2;2;2;2;2;2;1;2;1;2;2; ;2;1;1;2;1;1;1;2;2; ; ; ; ; ; ;2;3;2;2;2;3;2;1;3;3;4;4;3;1;2;6;4;3;3;2;3;4;4;2;2;3;8;1;2;1;1
3482;1;488;,940192574136468;1982;36;5;2;1;2; ;5;3; ;2; ;1;0; ; ;45; ; ; ; ;0;0;2; ; ;5;2;2;1;2;2; ;2; ;2;3;2;4;3;3;3;3;2;3;3;1;3;1;2;2;1;2;1;2;2;1;2;2;2;3;3;1; ;1;2;1;3;4;1;1;2;2;1;2;2;2;1;2;1;2;1;Uusi opetussuunnitelma;2;2;1;2;1;3;1;2;2; ; ; ; ; ; ;1;3;3;4;4;4;2;1;5;4;4;2;1;2;1;2;1;1;4;2;3;3;2;2;3;3;6;1;1;4;2
3482;1;489;,886616687193845;1958;60;9;2;1;1;2;4;2; ;4;1;1;36;2;1;36;2;2;0;0;0;0;2; ; ;3;2;2;1;3;1;1;1;2;2;1;2;3;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2;1;1;1;1;1; ;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2;1;1;2; ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;3;3;4;4;1;4;5;4;5;3;2;2;2;5;3;3;3;4;3;3;3;3;3;3;7;4;1;4;2
3482;1;490;,918171804376131;1957;61;10;2;1;1;3;9;2; ;4;1;1;7;2;2;39;2;2;0;0;0;0;2; ; ;1;2;2;1;3;2; ;2; ;2;3;3;1;2;3;2;2;2;2;3;2;3;1;1;1;2;2;3;3;2;2;1;9;1;1;2;2;2;1;2;2;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;3;2;2;2; ; ; ; ; ; ;1;3;3;1;4;4;1;1;5;4;5;1;4;1;1;1;3;4;4;1;3;3;3;3;2;4;6;1;4;4;2
3482;1;491;,985597806691238;1971;47;7;2;1;1;2;5;2; ;4;1;1;2;2;1;38;2;2;0;0;0;0;2; ; ;5;2;2;2; ;1;3;2; ;1;3;3;2;2;1;1;2;2;3;2;1;3;2;2;2;2;2;1;2; ;2;2;2;2;3;3;1; ;1;2;2;1;3;1;3;1;2;2;2;2;2;1;2;1;2;2; ;2;1;1;2;2;2;1;2;2; ; ; ; ; ; ;1;3;4;4;4;3;1;1;5;4;1;1;1;1;2;2;4;4;4;2;3;3;2;2;2;4;7;1;1;2;2
3482;1;492;,837439247421398;1956;62;10;2;1;1;1;2;3; ;2;1;1;20;2;2;36;2;2;0;0;0;0;2; ; ;2;3;2;1;3;2; ;2; ;4;2;1;1;1;2;1;2;2;2;2;3;2;2;2;2;2;2;2;2; ;2;2;1;1;1;1;1; ;1;1;3;1;2;1;5;2;2;2;2;2;2;1;2;1;2;2; ;1;1;1;2;2;2;2;2;2; ; ; ; ; ; ;2;3;1;1;3;1;1;4;5;4;5;4;3;1;1;3;4;4;4;2;3;4;3;4;4;3;7;2;1;2;2
3482;1;493;,889856579182411;1976;42;6;2;1;1;2;5;3; ;2;1;2;14;2;1;30;2;2;0;0;0;0;2; ; ;4;3;1;1;3;2; ;2; ;1;2;3;2;2;1;1;3;2;2;2;2;3;1;2;2;1;2;1;1;2;1;3;3;3;2;1;1; ;2; ;3;1;3;1;2;1;2;1;2;2;1;1;1;1;2;2; ;1;1;1;2;1;3;2;2;2; ; ; ; ; ; ;2;3;3;4;3;4;1;1;4;4;1;2;2;3;3;0;3;3;3;1;2;2;4;2;4;3;7;5;1;4;2
3482;1;494;1,19352710936429;1989;29;3;2;1;1;2;3;2; ;4;2;2;0;2;2;28;2;2;0;0;0;0;2; ; ;5;2;2;1;2;1;2;2; ;1;2;1;4;1;1;1;2;1;1;1;2;2;2;2;2;2;2;1;1; ;2;2;1;2;2;2;1; ;1;1;3;1;4;1;2;1;1;2;1;1;2;1;1;1;1;2; ;2;2;1;2;2;1;1;2;1;1;2;2;2;2;1;1;3;4;4;3;4;2;1;5;2;5;4;1;1;2;5;4;4;2;1;1;3;3;3;3;4;8;1;2;2;2
3482;1;495;,860808352623086;1978;40;6;2;1;1;1;2;1; ;3;1;1;6;2;2;37;2;2;0;0;0;0;2; ; ;3;3;2;2; ;2; ;2; ;2;2;2;2;3;1;2;2;1;2;2;1;4;2;2;2;2;2;2;2; ;2;2;1;2;1;1;1; ;1;2;1;1;3;1;6;2;2;2;2;2;2;2;2;1;1;1;valokuvaus;1;1;1;2;1;2;1;2;2; ; ; ; ; ; ;1;3;3;3;3;2;1;3;2;4;5;3;2;2;3;9;4;3;4;2;3;4;2;4;2;4;7;1;2;2;2
3482;1;496;,889856579182411;1980;38;5;2;1;1;2;3;2; ;4;1;1;11;2;2;38;2;2;0;0;0;0;2; ; ;5;2;2;1;3;2; ;2; ;3;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2; ;2;2;1;1;1;1;1; ;1;1;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;1;2;2;1;1;1;1;2;2;2;1;3;2;2;2;2;2;2;5;4;4;4;3;1;2;5;4;4;3;2;3;3;3;3;3;3;9;1;2;2;2
3482;1;497;,84929421893319;1979;39;5;2;1;1;1;2;2; ;4;1;1;1;2;2;38;2;2;0;0;0;0;2; ; ;7;2;1;2; ;2; ;2; ;2;3;2;1;2;4;2;2;2;2;3;3;2;2;2;2;2;2;2;2; ;2;1;1;2;1;2;1; ;2; ;3;2;3;1;12;2;2;2;2;2;2;2;2;1;2;2; ;1;1;1;1;2;1;1;2;2; ; ; ; ; ; ;1;3;3;3;3;4;2;1;5;2;5;3;3;1;1;0;4;4;4;1;3;3;3;3;3;3;7;1;1;1;2
3482;1;498;,877165358618532;1972;46;7;2;1;1;1;1;3; ;2;1;1;10;2;2;42;1;2;4;0;18,4;0;1;2; ;5;2;2;1;3;1;3;2; ;2;2;1;2;2;1;1;2;2;5;1;3;5;2;2;2;2;2;2;2; ;2;1;1;3;3;3;1; ;1;1;2;2;3;1;5;2;2;2;2;1;2;1;2;1;1;2; ;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;3;4;3;4;3;1;1;3;2;3;3;1;2;3;28;4;4;4;2;3;4;2;4;4;4;9;1;2;2;1
3482;1;499;1,19352710936429;1990;28;3;2;3;1;2;3;2; ;4; ; ; ;2; ; ; ; ; ; ;0;0; ; ; ;6;2;2;3; ;2; ;3; ;2;4;3;3;3;2;2;3;1;2;2;2;2;2;1;2;2;2;1;1; ;2;2;1;2;1;1;1; ;2; ;2;1;4;1;2;2;2;2;2;2;2;1;2;1;2;2; ;2;2;1;2;2;2;1;2;2; ; ; ; ; ; ;1;3;3;4;1;2;1;2;5;3;5;2;2;1;2;44;4;3;4;1;3;3;3;3;3;4;6;1;1;3;2
3482;1;500;,968899962873897;1960;58;9;2;1;1;2;5;3; ;2;2;2;1;2;2;31;2;2;0;0;0;0;2; ; ;3;2;2;2; ;3; ;1;3;4;2;2;4;4;2;2;2;1;1;1;3;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;2;1;3;1;46;2;1;1;1;2;1;2;2;1;2;2; ;1;1;1;2;1;1;2;2;2; ; ; ; ; ; ;2;3;3;2;3;4;2;4;2;5;5;3;4;2;1;5;1;1;5;2;2;4;3;4;4;3;8;1;1;5;2
3482;1;501;,906213585177856;1971;47;7;2;1;1;2;3;2; ;4;1;1;5;2;2;36;2;2;0;0;0;0;2; ; ;5;1;2;1;2;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;4;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;1;1;3;1;3;2;2;2;2;2;2;1;2;1;1;2; ;2;1;1;2;2;1;1;1;1;2;2;1;2;2;1;1;2;1;1;2;2;1;1;4;5;5;4;4;1;1;2;4;4;3;1;2;2;3;3;3;3;8;1;1;2;2
3482;1;502;,858916796075871;1961;57;9;2;1;1;3;5;2; ;4;1;1;5;2;2;38;2;2;0;0;0;0;2; ; ;1;2;2;2; ;2; ;2; ;2;2;1;5;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2; ;2;2;1;1;1;1;1; ;1;1;1;1;2;1;1;2;2;1;2;2;2;1;2;2;1;2; ;1;2;2;2;2;1;1;2;2; ; ; ; ; ; ;2;3;3;1;3;4;2;4;5;4;5;2;3;2;2;10;4;4;4;1;3;4;3;2;3;3;8;1;4;4;2
3482;1;503;,957897915573264;1973;45;7;2;1;1;3;9;3; ;2;1;1;9;2;1;35;1;2;2;0;8,85714285714286;0;2; ; ;2;2;2;2; ;2; ;3; ;2;2;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;1;1; ;1;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;2;3;4;3;2;4;2;2;5;4;5;2;2;2;2;0;4;4;4;2;3;3;3;3;3;2;8;1;2;4;2
3482;1;504;,968063713821809;1963;55;8;2; ; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ;0;0; ; ; ;1;2;2;1;2;1;2;2; ;3;4;1;1;1;1;2;3;1;2;2;3;1;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;2;3;1;2;2;2;1;2;2;2;1;1;1;1;2; ;2;2;2;2;2;1;1;2;2; ; ; ; ; ; ;1;3;3;3;3;4;2;2;5;2;5;2;2;2;1;0;4;4;3;2;3;4;4;4;3;4;8;2;2;2;2
3482;1;505;,980754934385689;1982;36;5;2;1;1;2;3;3; ;2;1;2;3;2;1;31;1;2;5;0;22,1428571428571;0;2; ; ;5;3;2;2; ;1;2;2; ;2;3;3;3;2;2;2;3;2;3;2;1;2;2;2;2;2;2;1;2; ;2;2;2;2;3;3;1; ;2; ;3;1;3;1;4;1;2;2;2;2;2;1;2;1;1;2; ;2;2;1;2;2;2;2;2;2; ; ; ; ; ; ;2;3;3;2;2;3;2;2;5;4;5;1;1;2;1;0;3;3;3;2;3;4;3;2;3;3;7;1;2;4;2
3482;1;506;,980754934385689;1975;43;6;2;1;1;2;4;1; ;3;1;1;10;2;2;38;2;2;0;0;0;0;2; ; ;2;2;2;1;3;2; ;2; ;1;4;1;1;1;1;1;2;2;2;1;3;2;2;2;2;2;2;2;2; ;2;1;1;2;1;1;1; ;1;1;2;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;1;2;2;2; ; ; ; ; ; ;1;3;3;4;4;4;1;1;5;5;5;1;3;5;2;264;3;3;3;6;3;4;3;3;3;3;10;2;1;2;2
3482;1;507;,897294571831654;1968;50;7;2;1;1;1;2;3; ;2;2;1;1;2;2;40;2;1;0;6;0;27,6;2; ; ;3;1;2;1;3;1;2;1;2;3;1;1;3;2;2;2;2;1;2;2;4;2;2;2;2;2;2;1;2; ;2;1;1;1;1;1;1; ;2; ;2;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;1;2;1;1;1;2; ; ; ; ; ; ;1;3;3;3;3;3;2;4;4;3;4;4;2;2;1;10;4;3;3;2;3;3;3;3;3;4;10;1;1;4;2
3482;1;508;,968899962873897;1958;60;10;2;1;1;2;4;2; ;4;1;1;17;2;2;36;1;2;1;0;4,6;0;2; ; ;1;2;2;2; ;2; ;2; ;2;2;1;2;2;1;2;2;2;2;2;3;1;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;2;3;2;2;2;1;2;4;5;4;5;4;3;2;2;0;3;4;4;3;1;2;2;1;3;3;8;1;4;4;2
3482;1;509;,997111940381134;1970;48;7;2;1;1;2;3;3; ;2;1;1;27;2;2;43;2;2;0;0;0;0;2; ; ;5;3;2;1;3;1;1;1;1;1;3;4;2;4;3;3;3;2;2;2;1;3;2;2;2;1;2;1;2; ;2;2;1;2;1;1;1; ;2; ;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1;1;2; ; ; ; ; ; ;2;3;3;3;4;4;2;1;5;2;2;2;1;1;3;4;4;4;4;2;2;3;2;2;3;3;6;1;2;2;2
3482;1;510;,941540909577818;1981;37;5;2;2;1;3;7;3; ;1; ; ; ;1; ; ; ; ; ; ;0;0; ; ; ;2;4;1;3; ;2; ;2; ;2;3;2;5;2;2;3;3;1;4;4;1;2;1;1;3;1;2;1;1;1;3;1;2;1;1;1;1; ;1;1;1;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;2;2;3;1;2;2; ; ; ; ; ; ;1;3;3;3;4;4;2;2;5;4;5;2;4;3;2;10;5;2;2;3;4;3;4;3;4;3;7;3;2;2;2
