Occupational group,Males,Females,Year
0,7664,351,2018
1,42332,20452,2018
2,212812,243156,2018
3,155996,247396,2018
4,36941,92863,2018
5,122505,318853,2018
6,9520,7182,2018
7,195633,17715,2018
8,151142,34049,2018
9,65841,88905,2018
99,33517,30522,2018
