fsd_no;fsd_vr;fsd_id;Syvu;ika;ika5;ika10;sukup;lisco2010_1;ltytyy_2012;toimi;palkansa;tysuhpy;taikao;tsuhaika;vuokraty;svuokra;sivutyo;sivutuni;vastaustapa;K2;K3;K62;K13_1;K13_2;K21c_4;K21c_5;K21c_10;K21c_11;K21c_12;K26_1;K26_2;K26_3;K20b_2;K20b_2a;K20b_5;K21b_1;K21b_2;K52c;K52a;K52b;K53;K63;K22_6;K22_8;K64;K42a;K43g;K43a;K43a_1;K43a_2;K43a_3;K20a_02;K20a_02a;K20a_09;K11a_1;K11a_2;K11a_3;K11a_4;K21b_4;K65;K47;K48;K66;K67;K67a;K67b_1;K67b_2;K67b_3;K67b_4;K67b_5;K67b_6;K67b_7;k67b_8;k67b_9;K9a_07;K9a_07c;K9a_07b;K9a_11;K9a_09b;K9a_10b;K21c_8;K21c_9;K28a;K28b;K32;K55;K56a;K56b;K56c;K56d;K57a;K57b;K57c;K57d;K69;K22_1;K22_2;K23;K68_1;K68_2;K68_3;K68_4;K68_5;K68_6;K68_7;K68_8;K40;tb_paino
3727;1,0;67;1998;23;2;1;1;5;3;2;1;1;1;1;2; ;2; ;2;3;2;3;1; ;1;1;1;1;1;2;1;1;1;1;2;2; ;2;2;1;1;1;1;2;1;3;5;5; ; ; ;1;1;2;2;3;3;2;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;2;3;1;1;0;2;2;2;2;1;4;4;4;4;1;3;4;1;0;1;0;1;0;0;0;0;2;2,0625370028481
3727;1,0;68;1975;46;7;4;1;7;3;2;1;1;1;9;2; ;2; ;1;5;2;2;1; ;2;2;2;2;2;3;1;2;2;2;2;1;4;1;2;2;2;1;1;1;2;4;5;4;1;1;1;1;2;3;4;4;3;3;3;1;2;1;3;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;3;2;2;5;2;3;2;2;1;4;4;4;3;2;3;3;2;1;1;0;0;0;0;0;0;2;,9818035501505
3727;1,0;69;1980;41;6;3;1;7;3;1;1;1;1;4;2; ;2; ;2;7;2;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;3;1;2;1;2;1;2; ;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;3;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;3;2;2;7;1;2;2;2;1;5;5;5;4;1;4;4;1;1;0;1;0;0;0;0;0;1;1,7609151724219
3727;1,0;70;1965;55;9;5;1;5;3;2;2;1;1;4;2; ;2; ;1;2;2;5;2;1;2;2;2;3;2;2;2;3;2;3;3;2; ;2;2;2;2;2;1;1;2;3;5;1;1;1;1;1;2;3;3;3;3;2;3;1;2;1;3;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;4;2;3;3;0;3;3;4;3;2;2;2;2;2;3;4;4;4;0;1;0;0;0;0;0;1;2;,5037597876078
3727;1,0;71;1969;52;8;4;1;3;3;2;2;1;1;31;2; ;2; ;1;11;2;5;2;1;2;2;2;1;2;2;2;2;2;2;2;2; ;1;2;1;2;2;1;1;2;2;2;1;1;1;1;1;2;2;2;3;3;1;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;4;1;3;3;0;5;4;3;4;3;3;3;3;3;2;3;3;3;1;1;1;1;1;0;0;0;1;,8632246805606
3727;1,0;72;1973;48;7;4;1;2;3;2;3;1;1;20;2; ;2; ;2;4;1;5;1; ;1;1;1;1;1;2;1;2;1;2;2;1;4;1;2;1;1;1;1;1;1;2;5;1;2;1;1;1;1;2;1;1;2;1;1;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;3;1;1;2;2;3;3;3;3;3;4;3;3;1;3;3;2;1;0;0;0;0;0;0;0;2;,7048582537946
3727;1,0;73;1986;35;5;3;1;7;3;1;1;1;1;16;2; ;2; ;2;1;2;2;1; ;2;2;2;2;1;4;2;3;1;2;2;2; ;2;1;1;1;2;1;1;1;2;3;5; ; ; ;2; ;2;2;2;2;2;2;1;2;2;1;2; ;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;2;2;3;1;0;2;2;3;2;2;3;4;4;4;2;9;4;1;1;1;1;0;0;0;0;0;1;1,0839653492967
3727;1,0;74;1990;31;4;2;1;2;1;3;3;1;1;1;2; ;2; ;1;11;2;5;1; ;2;2;1;3;2;1;1;2;1;2;2;1;4;1;1;1;1;1;1;1;1;2;4;1;2;2;2;1;2;2;3;1;4;1;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;2;1;3;1;1;1;4;1;1;2;0;3;4;4;3;1;3;3;4;2;1;4;4;1;1;1;0;0;1;0;0;0;2;,8958378033656
3727;1,0;75;1991;29;3;2;1;2;2;4;3;2;1;2;2;2;1;7;1;11;2;1;1; ;1;2;2;3;1;3;2;2;2;1;3;1;2;1;1;1;1;1;1;1;1;3;4;5; ; ; ;1;1;4;3;3;3;3;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;2;2;1;1;1;3;2;1;2;2;4;3;2;3;2;4;4;4;4;1;3;4;2;1;0;1;0;0;0;0;0;2;1,2313885052143
3727;1,0;76;1992;29;3;2;1;3;3;2;2;1;2;7;2; ;2; ;2;11;2;5;1; ;2;1;2;2;1;3;3;2;1;2;3;1;3;1;1;1;2;1;1;1;2;2;5;1;2;4;1;1;1;2;4;2;4;1;3;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;2;9;2;1;1;1;3;1;2;4;90;5;3;3;4;2;2;3;3;2;1;4;3;1;1;1;0;0;0;0;0;0;2;1,6887123287543
3727;1,0;77;1984;37;5;3;1;2;3;1;3;1;1;6;2; ;2; ;2;9;1;1;1; ;3;2;2;1;3;2;1;2;1;2;2;2; ;2;2;1;2;2;1;1;1;1;5;5; ; ; ;1;3;3;4;4;3;4;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;2;1;4;1;1;1;4;1;2;3;0;4;4;2;2;2;4;4;4;4;1;4;4;1;1;0;0;1;0;0;0;0;2;1,3101869097552
3727;1,0;78;1960;61;10;5;1;2;2;4;3;1;1;24;2; ;2; ;2;5;2;1;1; ;2;2;2;2;2;3;3;2;2;2;3;2; ;1;2;1;2;2;2; ;3;1;3;3;4;3;2;1;2;2;3;3;3;4;3;1;2;1;3;2; ;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;3;2;2;2;10;3;3;3;2;2;3;3;4;2;1;4;4;2;1;0;0;0;0;1;0;0;2;,4894201161943
3727;1,0;79;1980;41;6;3;1;1;3;1;3;1;1;17;2; ;2; ;2;5;1;1;2;1;2;1;2;2;2;3;2;2;2;2;1;2; ;2;2;1;2;1;2; ;1;2;3;3;3;3;1;2; ;2;3;3;3;3;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;2;1;2;0;4;3;3;2;2;4;3;3;3;2;3;3;2;1;0;0;0;0;1;0;0;1;,7481967890341
3727;1,0;80;1977;44;6;3;1;8;3;1;1;1;1;5;2; ;2; ;2;7;3;1;2;1;2;2;3;3;2;2;2;1;2;2;3;1;2;1;2;1;1;2;2; ;3;1;5;5; ; ; ;1;2;2;3;3;2;4;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;1;1;0;3;2;3;3;2;4;4;4;4;2;3;3;1;1;0;0;0;0;0;0;0;1;,7477627746436
3727;1,0;81;1985;36;5;3;1;9;2;4;1;1;1;14;2; ;2; ;2;4;2;1;1; ;1;1;1;1;1;3;2;1;1;1;1;2; ;2;1;2;1;1;2; ;2;4;5;5; ; ; ;1;1;4;2;2;3;4;2;1;2;1;1;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;3;1;3;3;2;2;10;3;2;2;2;2;4;4;4;4;1;4;4;1;0;1;0;1;1;0;0;0;2;1,0937526879615
3727;1,0;82;1993;28;3;2;1;7;3;1;1;1;1;6;2; ;2; ;2;4;2;4;1; ;2;2;1;2;2;3;2;3;1;2;2;2; ;2;2;1;2;1;1;1;1;3;5;5; ; ; ;2; ;2;3;4;2;3;3;1;2;2;2;2; ;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;2;2;2;2;1;2;3;2;2;1;2;4;4;4;2;3;4;1;1;0;0;0;0;0;0;0;1;1,1696402405665
3727;1,0;83;1982;39;5;3;1;2;2;4;3;1;1;14;2; ;2; ;1;6;2;1;1; ;2;1;1;1;1;3;2;3;2;3;2;2; ;2;2;2;1;2;2; ;2;1;1;1;2;2;1;9; ;3;3;3;3;4;3;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;1;1;2;1;3;1;3;1;1;1;0;3;4;3;4;2;4;4;4;3;2;3;3;1;1;1;1;1;1;0;0;0;2;,8332132676941
3727;1,0;84;1993;28;3;2;1;2;2;4;3;2;1;1;2; ;2; ;2;4;2;1;2;1;1;1;1;2;1;2;1;2;2;1;2;1;2;2;1;2;1;1;2; ;2;2;4;4;3;2;3;1;1;2;3;2;3;4;3;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;3;1;2;0;2;2;2;2;2;3;3;3;3;1;4;4;1;1;0;0;1;0;0;0;0;2;1,2232179937130
3727;1,0;85;1978;43;6;3;1;5;3;2;2;1;1;3;2; ;2; ;1;5;1;1;1; ;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;1;1;1;2;3;5; ; ; ;1;1;2;2;2;2;4;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1;3;3;2;2;0;2;2;2;2;2;2;2;4;4;2;3;3;2;1;0;0;0;0;0;0;0;2;1,2607236406193
3727;1,0;86;1967;54;8;4;1;8;3;1;1;1;1;36;2; ;2; ;2;7;2;1;1; ;2;2;2;1;2;2;1;2;2;2;2;2; ;2;2;2;2;1;1;1;1;2;5;5; ; ; ;1;2;2;4;2;4;4;3;1;2;2;3;2; ;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;3;3;1;1;0;2;2;3;2;2;4;2;2;2;2;3;3;3;0;1;0;0;0;0;0;0;2;,9687732957168
3727;1,0;87;1988;33;4;2;1;8;3;1;1;1;1;5;2;2;1;16;2;7;3;1;2;1;3;3;3;4;2;4;2;3;3;3;4;2; ;2;2;2;2;1;1;1;1;5;5;3;1;1;1;1;3;4;4;1;4;3;4;1;2;1;1;1;2;0;0;0;0;0;0;0;0;0;3;2;1;1;1;1;3;4;3;1;0;1;1;4;1;1;4;1;2;4;3;1;3;2;0;1;1;0;0;1;1;0;2;1,0821328456249
