Occupational group,Males,Females,Year
0,7697,401,2019
1,39607,20763,2019
2,224933,251979,2019
3,157830,245696, 2019
4,35257,92345,2019
5,124268,320864,2019
6,8984,6464,2019
7,189815,16129,2019
8,145379,31860,2019
9,65856,88525,2019
99,31685,27061,2019
