Occupational group,Males,Females,Year
0,8245,459,2020
1,36103,19823,2020
2,227206,255700,2020
3,154373,243491,2020
4,33142,86794,2020
5,117084,304032,2020
6,8398,6375,2020
7,172899,14456,2020
8,138818,29952,2020
9,60296,82878,2020
99,25449,20324,2020
